Year,Company,Region,Product Category,Sub-Category,Revenue (USD),Profit (USD),Units Sold,Customer Segment
2019,Apple,Asia-Pacific,Consumer Electronics,Tablets,22913523,7862934,8481,Retail
2017,Microsoft,North America,Hardware,PC Accessories,25022736,10103869,9732,Enterprise
2018,Microsoft,Europe,Software,Operating Systems,13037369,2816595,3500,Retail
2022,Microsoft,Global,Cloud Services,Azure Subscriptions,43221834,5468868,8340,Small & Medium Business
2018,Apple,Europe,Wearables,Fitness Bands,49903139,14445324,2884,Small & Medium Business
2019,Apple,North America,Accessories,AirPods,15516934,6321760,6308,Small & Medium Business
2014,Apple,Asia-Pacific,Wearables,Apple Watch,35800954,12055294,9439,Retail
2020,Apple,Asia-Pacific,Accessories,AirPods,29123275,4735545,9271,Education
2014,Microsoft,North America,Cloud Services,Azure Subscriptions,3233781,1102996,9361,Education
2014,Microsoft,Global,Gaming,Games,49932796,19148506,2972,Small & Medium Business
2023,Apple,Europe,Consumer Electronics,Tablets,38451886,16179437,3383,Retail
2023,Apple,North America,Services,Apple Music,27786830,8614994,8202,Enterprise
2016,Apple,Europe,Services,Apple Music,23398032,4119330,2485,Education
2015,Apple,South America,Wearables,Apple Watch,27466761,7184089,4072,Small & Medium Business
2017,Microsoft,Africa,Gaming,Xbox Consoles,3768491,1303148,5030,Retail
2019,Microsoft,Asia-Pacific,Software,Office Suite,34359468,11181886,3134,Retail
2016,Apple,Asia-Pacific,Services,iCloud,3587312,1058842,8296,Enterprise
2020,Apple,Europe,Accessories,Chargers,24238360,7936535,7023,Enterprise
2017,Apple,Global,Consumer Electronics,Smartphones,31828725,13142242,5806,Retail
2014,Apple,Asia-Pacific,Accessories,Chargers,8908550,2886666,1588,Small & Medium Business
2015,Microsoft,South America,Cloud Services,Azure Subscriptions,25587654,7705296,1320,Education
2017,Apple,Africa,Wearables,Fitness Bands,45318208,15552509,6665,Enterprise
2014,Microsoft,Europe,Gaming,Games,34750585,6541224,3118,Enterprise
2015,Microsoft,Asia-Pacific,Cloud Services,Enterprise Solutions,13672563,4926180,2380,Retail
2021,Apple,Africa,Services,iCloud,2204021,401108,6760,Enterprise
2018,Apple,Global,Consumer Electronics,Tablets,8741828,1666100,9470,Retail
2023,Microsoft,Europe,Cloud Services,Azure Subscriptions,46796247,10182504,8792,Retail
2023,Apple,Africa,Services,iCloud,9576857,2393562,5988,Small & Medium Business
2014,Microsoft,South America,Cloud Services,Enterprise Solutions,44250273,15905100,5801,Enterprise
2019,Apple,South America,Services,Apple Music,24540764,7973808,1935,Small & Medium Business
2023,Apple,North America,Services,Apple Music,16828595,5313853,8966,Education
2022,Apple,Africa,Consumer Electronics,Smartphones,42436966,8659389,2855,Retail
2015,Microsoft,Africa,Software,Operating Systems,49545487,11929190,4417,Small & Medium Business
2020,Apple,Global,Wearables,Apple Watch,35310794,14197342,684,Small & Medium Business
2016,Apple,South America,Services,Apple Music,2890046,639203,1771,Retail
2019,Microsoft,South America,Gaming,Xbox Consoles,24146721,8917764,2853,Enterprise
2019,Apple,Europe,Services,iCloud,24183328,4395152,6762,Small & Medium Business
2019,Microsoft,Africa,Cloud Services,Azure Subscriptions,31546001,3215121,9898,Education
2015,Apple,North America,Consumer Electronics,Tablets,14871042,5731050,2158,Enterprise
2023,Microsoft,North America,Hardware,PC Accessories,2015290,277663,7871,Education
2022,Microsoft,North America,Cloud Services,Azure Subscriptions,2249554,568645,6632,Retail
2021,Apple,Africa,Consumer Electronics,Tablets,4939545,1826881,3943,Retail
2021,Apple,Asia-Pacific,Accessories,Chargers,31884732,11996351,3984,Retail
2021,Microsoft,North America,Cloud Services,Enterprise Solutions,49012748,19302208,7838,Enterprise
2020,Apple,Africa,Services,iCloud,9826674,1172318,8727,Enterprise
2022,Microsoft,Europe,Gaming,Games,31557185,9564836,7384,Small & Medium Business
2019,Apple,South America,Services,Apple Music,5860355,1218077,2063,Education
2021,Apple,North America,Accessories,AirPods,5824487,1316759,917,Education
2016,Apple,Asia-Pacific,Services,Apple Music,30249681,8756243,4473,Education
2014,Microsoft,South America,Cloud Services,Azure Subscriptions,27045213,8659765,7439,Enterprise
2020,Apple,Global,Services,iCloud,5995502,1974573,6848,Enterprise
2021,Apple,Africa,Services,iCloud,2105375,513758,3141,Retail
2022,Microsoft,Europe,Gaming,Xbox Consoles,7615067,2726517,3729,Education
2022,Apple,Global,Services,iCloud,35424208,14267362,6338,Small & Medium Business
2014,Microsoft,Africa,Cloud Services,Enterprise Solutions,14757160,2310544,5134,Education
2018,Microsoft,Africa,Hardware,Surface Devices,18089916,6850732,6578,Education
2023,Apple,Africa,Consumer Electronics,Tablets,26275437,8305146,1322,Enterprise
2017,Microsoft,Europe,Cloud Services,Enterprise Solutions,2361703,287454,8368,Retail
2020,Apple,Asia-Pacific,Wearables,Fitness Bands,23698030,4656250,8956,Retail
2017,Apple,Africa,Consumer Electronics,Smartphones,16963710,3618165,6488,Enterprise
